fecha,hora,prediccion_frio_kw
2022-04-29,,29586.99718046837
2022-04-30,,26512.323575380207
2022-05-01,,28479.18287486729
2022-05-02,,28193.344137824097
2022-05-03,,23790.906782259863
2022-05-04,,22983.295204143786
2022-05-05,,21913.428990950837
2022-05-06,,25754.359935576656
2022-05-07,,31173.01439515062
2022-05-08,,31234.774802383807
2022-05-09,,29790.501887137503
2022-05-10,,29449.338542943817
2022-05-11,,29696.687046039035
2022-05-12,,28391.319694804748
2022-05-13,,25446.35111272237
2022-05-14,,25166.907408366093
2022-05-15,,27492.3144194469
2022-05-16,,28275.891811316687
2022-05-17,,29336.39517314308
2022-05-18,,32509.419829016875
2022-05-19,,31447.08724584274
2022-05-20,,31266.822083345956
2022-05-21,,32122.9438635887
2022-05-22,,31239.31119103359
2022-05-23,,32094.98845675959
2022-05-24,,31654.988962755004
2022-05-25,,32795.151491887926
2022-05-26,,30930.70562492024
2022-05-27,,33584.646983623046
2022-05-28,,37756.53653610259
2022-05-29,,33180.01940387214
2022-05-30,,32119.10213048593
2022-06-01,,32433.41264250555
2022-06-02,,34253.25999337737
2022-06-03,,37063.35508796866
2022-06-04,,84332.07695015574
2022-06-05,,32974.61840682814
2022-06-06,,34688.39294023096
2022-06-07,,36904.225119602015
2022-06-08,,34110.67342738149
2022-06-09,,34295.872511942885
2022-06-10,,34023.713789094465
2022-06-11,,33001.672175819505
2022-06-12,,31439.77970928695
2022-06-13,,32697.426776900775
2022-06-14,,34185.10076772011
2022-06-15,,31317.873083564595
2022-06-16,,29210.83783361283
2022-06-17,,29299.0423903119
2022-06-18,,30421.87021718577
2022-06-19,,33840.85408313294
2022-06-20,,26737.312255529356
2022-06-21,,22344.49926784941
2022-06-22,,31059.527605009083
2022-06-23,,28436.3514505698
2022-06-24,,19964.972646422422
2022-06-25,,17139.81955785488
2022-06-26,,26922.308307464795
2022-06-27,,27353.952303405244
2022-06-28,,29156.343539615595
2022-06-29,,29616.02683237467
2022-06-30,,23093.92957423598
2022-07-01,,22291.599394985187
2022-07-02,,30957.258944116857
2022-07-03,,29882.839720304095
2022-07-04,,29185.812899778117
2022-07-05,,31736.199695946223
2022-07-06,,33047.370263129305
2022-07-07,,31836.265898192956
2022-07-08,,30013.92309440424
2022-07-09,,28657.012503515354
2022-07-10,,30086.54525920182
2022-07-11,,32604.362483473604
2022-07-12,,34618.23420817204
2022-07-13,,28891.31118441043
2022-07-14,,28044.888529147127
2022-07-15,,29882.071123866026
2022-07-16,,33422.243526205435
2022-07-17,,35010.63353423398
2022-07-18,,34432.57826845621
2022-07-19,,37406.40820123343
2022-07-20,,57231.84012164865
2022-07-21,,35829.7216975335
2022-07-22,,31113.900393443335
2022-07-23,,30362.827290420457
2022-07-24,,32224.908373720074
2022-07-25,,35036.33646375732
2022-07-26,,36810.642156635695
2022-07-27,,30305.963752435346
2022-07-28,,26692.684986641205
2022-07-29,,31576.580928225547
2022-07-30,,31327.248974754737
2022-07-31,,28493.779221673813
2022-08-01,,30713.330035560557
2022-08-02,,33967.949896013015
2022-08-03,,31374.207888345878
2022-08-04,,28607.453003029565
2022-08-05,,24659.08105048501
2022-08-06,,26198.662509215224
2022-08-07,,26605.184403190775
2022-08-08,,26239.257755468632
2022-08-09,,24121.815878716403
2022-08-10,,26008.82591270677
2022-08-11,,27588.658003614994
2022-08-12,,29857.496878589976
2022-08-13,,30185.10491275704
2022-08-14,,28332.12933050303
2022-08-15,,27073.275041539022
2022-08-16,,26200.53564960439
2022-08-17,,23152.733460406005
2022-08-18,,20899.944247041025
2022-08-19,,19454.62605645148
2022-08-20,,23056.14577131067
2022-08-21,,22781.88794030989
2022-08-22,,19806.994401497752
2022-08-23,,19386.060890492212
2022-08-24,,24693.716014626792
2022-08-25,,24270.817964571874
2022-08-26,,21527.868172180835
2022-08-27,,24553.071566304523
2022-08-28,,24215.39572096291
2022-09-01,,24032.394270047418
2022-09-02,,25813.030104866633
2022-09-03,,25183.527084523554
2022-09-04,,22503.730233847116
2022-09-05,,23317.704783940208
2022-09-06,,27834.698550385496
2022-09-07,,28320.392037307574
2022-09-08,,26013.73856888182
2022-09-09,,26620.575082376297
2022-09-10,,22966.510436844597
2022-09-11,,21931.938017491648
2022-09-12,,22989.074597316987
2022-09-13,,25508.86645774366
2022-09-14,,25687.869196292384
2022-09-15,,25874.902166232536
2022-09-16,,27000.618775475807
2022-09-17,,28339.641084708128
2022-09-18,,23615.53645611512
2022-09-19,,22524.31932538488
2022-09-20,,22607.292283031737
2022-09-21,,23062.98720918501
2022-09-22,,25921.298952902172
2022-09-23,,23834.807043735404
2022-09-24,,20550.145802107454
2022-09-25,,21249.965969121564
2022-09-26,,20622.974158206714
2022-09-27,,23391.026734284496
2022-09-28,,25540.98793218607
2022-09-29,,25096.224445428546
2022-09-30,,21833.27381685709
2022-10-01,,17084.960545363472
