Mes / Año,Año + Mes,Agua Planta,EE Planta,ET Planta,Aire Planta,Unnamed: 6,Meta Agua Elab,Meta Agua Bodega,Meta Agua Cocina,Meta Agua Envas,Meta Agua Linea 2,Meta Agua Linea 3,Meta Agua Linea 4,Meta Agua Linea 5,Meta Agua Servicios,Meta Agua Planta de Agua,Meta Produccion Agua,Unnamed: 18,Meta EE Elaboracion,Meta EE Bodega,Meta EE Cocina,Meta EE Envasado,Meta EE Linea 2,Meta EE Linea 3,Meta EE Linea 4,Meta EE Linea 5,Meta EE Servicios,Meta EE Sala Maq,Meta EE Frio,Meta EE Aire,Meta EE CO2,Meta EE Caldera,Meta EE Eflu,Meta EE Agua ,Meta EE Resto Serv,Meta EE Resto Planta,Unnamed: 37,Meta ET Elab,Meta ET Bodega,Meta ET Cocina,Meta ET Envasado,Meta ET Linea 2,Meta ET Linea 3,Meta ET Linea 4,Meta ET Linea 5,Meta ET Servicios,Unnamed: 47,Meta Aire Elaboracion,Meta Aire Cocina,Meta Aire Bodega,Meta Aire Envasado,Meta Aire L2,Meta Aire L3,Meta Aire L4,Meta Aire L5,Meta Aire Servicios
2023-07-01,202307,3.53,7.0,78.88,6.2,,1.845685714,0.8068571429,1.412,1.089257143,2.118,1.412,0.5042857143,1.512857143,0.5648,15.12857143,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,27.608,1.195151515,10.75636364,46.49139394,23.9030303,17.92727273,7.768484848,11.95151515,4.661090909,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2023-08-01,202308,3.3,6.45,70.0,5.712857143,,1.725428571,0.7542857143,1.32,1.018285714,1.98,1.32,0.4714285714,1.414285714,0.528,14.14285714,85,,0.7832142857,0.5067857143,0.2764285714,1.686214286,2.395714286,1.566428571,1.474285714,1.566428571,3.833142857,3.962142857,2.487857143,0.5528571429,0.2303571429,0.09214285714,0.09214285714,0.09214285714,0.4146428571,0.1750714286,,24.5,1.060606061,9.545454545,41.25757576,21.21212121,15.90909091,6.893939394,10.60606061,4.136363636,,3.225,0.4607142857,1.382142857,1.382142857,2.303571429,1.382142857,0.5528571429,2.764285714,1.105714286
2023-09-01,202309,3.3,6.15,62.0,5.447142857,,1.725428571,0.7542857143,1.32,1.018285714,1.98,1.32,0.4714285714,1.414285714,0.528,14.14285714,85,,0.7467857143,0.4832142857,0.2635714286,1.607785714,2.284285714,1.493571429,1.405714286,1.493571429,3.654857143,3.777857143,2.372142857,0.5271428571,0.2196428571,0.08785714286,0.08785714286,0.08785714286,0.3953571429,0.1669285714,,21.7,0.9393939394,8.454545455,36.54242424,18.78787879,14.09090909,6.106060606,9.393939394,3.663636364,,3.075,0.4392857143,1.317857143,1.317857143,2.196428571,1.317857143,0.5271428571,2.635714286,1.054285714
2023-10-01,202310,3.3,6.1,60.0,5.402857143,,1.725428571,0.7542857143,1.32,1.018285714,1.98,1.32,0.4714285714,1.414285714,0.528,14.14285714,85,,0.7407142857,0.4792857143,0.2614285714,1.594714286,2.265714286,1.481428571,1.394285714,1.481428571,3.625142857,3.747142857,2.352857143,0.5228571429,0.2178571429,0.08714285714,0.08714285714,0.08714285714,0.3921428571,0.1655714286,,21.0,0.9090909091,8.181818182,35.36363636,18.18181818,13.63636364,5.909090909,9.090909091,3.545454545,,3.05,0.4357142857,1.307142857,1.307142857,2.178571429,1.307142857,0.5228571429,2.614285714,1.045714286
2023-11-01,202311,3.03,6.3,58.0,5.58,,1.584257143,0.6925714286,1.212,0.9349714286,1.818,1.212,0.4328571429,1.298571429,0.4848,12.98571429,85,,0.765,0.495,0.27,1.647,2.34,1.53,1.44,1.53,3.744,3.87,2.43,0.54,0.225,0.09,0.09,0.09,0.405,0.171,,20.3,0.8787878788,7.909090909,34.18484848,17.57575758,13.18181818,5.712121212,8.787878788,3.427272727,,3.15,0.45,1.35,1.35,2.25,1.35,0.54,2.7,1.08
2023-12-01,202312,3.0,6.4,58.0,5.668571429,,1.568571429,0.6857142857,1.2,0.9257142857,1.8,1.2,0.4285714286,1.285714286,0.48,12.85714286,85,,0.7771428571,0.5028571429,0.2742857143,1.673142857,2.377142857,1.554285714,1.462857143,1.554285714,3.803428571,3.931428571,2.468571429,0.5485714286,0.2285714286,0.09142857143,0.09142857143,0.09142857143,0.4114285714,0.1737142857,,20.3,0.8787878788,7.909090909,34.18484848,17.57575758,13.18181818,5.712121212,8.787878788,3.427272727,,3.2,0.4571428571,1.371428571,1.371428571,2.285714286,1.371428571,0.5485714286,2.742857143,1.097142857
2021-01-01,202101,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-02-01,202102,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-03-01,202103,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-04-01,202104,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
